Input Size,delta0.5,delta1,delta10,delta50,delta100
1000000,24.872448,24.858656,24.89856,24.664385,24.661951
2000000,42.058594,42.256386,41.943008,42.4216,42.348415
3000000,59.964066,50.019871,49.766655,49.741825,49.711105
4000000,76.726082,59.783073,60.25539,60.019295,60.043262
5000000,74.220772,73.937088,74.06234,73.998177,73.989952
