Input Size,delta0.5,delta1,delta10,delta50,delta100
1000000,15.337728,12.587008,9.767136,9.999616,9.345024
2000000,24.312927,18.399008,13.168672,12.62896,12.304928
3000000,33.267105,21.048096,13.920128,13.440416,13.348768
4000000,42.358784,23.883871,15.806176,15.060128,15.207776
5000000,39.80077,28.561279,18.575359,17.608065,17.383327
