Input Size,delta0.5,delta1,delta10,delta50,delta100
1000000,15.210272,12.25456,9.49456,9.396224,9.378112
2000000,23.72928,18.170689,13.09472,12.520128,12.588832
3000000,33.216511,20.541088,13.416448,12.908288,12.870272
4000000,42.019073,24.137632,15.875392,15.038368,14.83808
5000000,39.329536,28.867264,18.466368,17.414177,18.910976
