Input Size,delta0.5,delta1,delta10,delta50,delta100
1000000,24.663649,24.684544,24.208481,24.220736,24.246271
2000000,41.65427,42.324993,42.423615,42.441982,42.533791
3000000,59.205406,47.956257,47.866177,47.617729,47.900543
4000000,77.192162,60.186367,60.104256,60.082176,60.042465
5000000,74.222527,73.980286,74.12326,74.503357,74.416481
