Input Size,delta0.5,delta1,delta10,delta50,delta100
1000000,1.6215126856377058,2.0143149978457,2.549721208776394,2.5777095139494333,2.585410688206752
2000000,1.7553954439409876,2.329300391416088,3.23974968536937,3.389900007412065,3.378692399739706
3000000,1.7824089351226566,2.334650287268133,3.5677235137049683,3.6889267577543974,3.72179725494535
4000000,1.8370743685849518,2.493466094768534,3.7860013787376086,3.995259060025662,4.0465117454549375
5000000,1.88719559264569,2.5627744285014336,4.013959864766044,4.278316282187783,3.9350946772921715
