Input Size,delta0.5,delta1,delta10,delta50,delta100
100000,6.768672,7.084768,6.398496,6.3104,6.241344
200000,7.983104,7.45472,7.912352,7.038944,7.177376
300000,9.076736,8.286304,7.508192,7.268384,7.62224
400000,9.668704,8.773824,7.768064,7.585536,7.606976
500000,10.525152,10.05952,7.763648,7.753888,7.994496
600000,11.749344,9.9312,8.335968,8.133408,8.25536
700000,12.50304,10.511456,8.471904,8.636704,8.52496
800000,13.420992,11.028032,9.059264,8.732672,8.786208
