Input Size,delta0.5,delta1,delta10,delta50,delta100
100000,6.7728,6.7728,6.78112,5.965824,5.968032
200000,8.511712,8.560192,8.493056,7.36256,7.36016
300000,10.696288,10.6976,10.695072,10.547328,8.98048
400000,12.262816,12.45008,12.470144,12.451008,10.45824
500000,14.864864,15.085536,14.846112,15.058944,15.09728
600000,17.569792,17.571775,17.598463,17.516224,17.58016
700000,19.236481,19.237185,18.947392,19.244608,19.257568
800000,21.048639,21.034817,21.039904,21.056736,21.052769
