Input Size,delta0.5,delta1,delta10,delta50,delta100
1000000,15.280704,12.545664,9.479744,9.473856,9.32016
2000000,24.260544,18.491552,13.08048,12.477952,12.41088
3000000,33.181473,24.620832,14.49232,13.981312,13.72688
4000000,42.504192,36.297535,15.594848,14.825184,14.77632
5000000,39.73885,28.325632,18.94944,17.230433,17.16592
