Input Size,delta0.5,delta1,delta10,delta50,delta100
1000000,24.860832,24.889696,24.806784,24.394625,24.899551
2000000,42.083775,42.783234,42.785088,42.811455,42.805248
3000000,60.364799,59.957088,52.330944,52.246143,52.021854
4000000,77.765953,60.017506,59.875935,59.752449,59.645374
5000000,73.71299,73.534851,73.503555,73.563072,73.496574
