Input Size,delta0.5,delta1,delta10,delta50,delta100
1000000,1.6211742601765782,2.004494329511466,2.43901371705955,2.5562670249141792,2.6077869639584397
2000000,1.7582981856245168,2.2278247956040933,3.2649068805157615,3.400039976833937,3.3666184711784535
3000000,1.7821343389347324,2.397208517427436,3.5592265012045785,3.728952324114775,3.7339315926611127
4000000,1.849414712476031,2.524361559471343,3.8592904933519296,4.025107045308483,4.06609934431163
5000000,1.868027262684144,2.5856499484552096,4.023925008211351,4.250530274455604,4.311142546043386
