Input Size,delta0.5,delta1,delta10,delta50,delta100
1000000,15.226336,12.324864,9.924576,9.480224,9.288832
2000000,23.669632,19.048449,12.984608,12.487232,12.616672
3000000,33.17683,19.981855,13.455328,12.761504,12.747872
4000000,42.050529,23.816353,15.578656,14.9376,14.780192
5000000,39.582016,28.558657,18.413536,17.434368,17.19248
