Input Size,delta0.5,delta1,delta10,delta50,delta100
1000000,24.684544,24.70512,24.206177,24.233984,24.223295
2000000,41.618271,42.436607,42.393536,42.457088,42.475521
3000000,59.125568,47.900673,47.89056,47.58704,47.599682
4000000,77.768867,60.121086,60.122559,60.125439,60.097729
5000000,73.940285,73.84269,74.094688,74.105309,74.119232
